#,Filename,Thumbnail URL,Caption
1,photo-20260826-023604.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260826-023604.jpg,"Her husband kisses her goodbye at the marina, completely unaware that an older gentleman has already arranged to meet her on the cruise"
2,photo-20260707-185745-02.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260707-185745-02.jpg,"On the cruise deck at night, she sits nude on the Black man's lap under the full moon, her husband thinks she's alone in her cabin"
3,photo-20260823-064054.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-064054.jpg,"The older man who lured her onboard puts his arm around her on the ferry, telling her about the 'special guests' waiting for her"
4,photo-20260823-064715.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-064715.jpg,"She smiles nervously as the older man holds her close on the ferry deck, his hands already exploring what he promised would be a 'fun day'"
5,photo-20260823-064717-01.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-064717-01.jpg,"Alone in her bikini on the ferry, she texts her husband 'having a relaxing day' while the older man watches her from across the deck"
6,photo-20260823-064720-02.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-064720-02.jpg,"The older man embraces her from behind on the ferry, whispering that the other guests are 'very eager to meet her'"
7,photo-20260823-203905.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-203905.jpg,"Walking hand-in-hand with the older man at night, she realizes too late that the cruise is empty except for the men who need relief"
8,photo-20260823-203907-01.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-203907-01.jpg,"The older man pulls her close for a kiss on the deck, his experienced hands already claiming what her husband thinks is safely alone"
9,photo-20260823-203910-02.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-203910-02.jpg,"She submits to his kiss under the night sky, the ocean waves masking her guilt as she realizes this isn't the cruise she expected"
10,photo-20260823-203912-03.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-203912-03.jpg,"His tongue explores her mouth while his hands grip her hips, the first of many men who will use her through the night"
11,photo-20260823-203915-04.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-203915-04.jpg,"She feels his hardness pressing against her as they kiss, knowing her husband's trusting face is far from her mind now"
12,photo-20260823-203917-05.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260823-203917-05.jpg,"The older man leads her to the private deck, already texting the others that she's ready for them"
13,photo-20260824-133801.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260824-133801.jpg,"Inside the ferry cabin, the younger man joins them - muscular and hungry, he watches as the older man presents her to him"
14,photo-20260824-132235.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260824-132235.jpg,"The younger man takes charge immediately, pushing her onto the bed while the older man watches from the chair"
15,photo-20260824-132237-01.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260824-132237-01.jpg,"She lies back on the bed as the younger man looms over her, his hands already pulling at her bikini"
16,photo-20260824-132240-02.jpg,https://nbiryukov25.github.io/joyce-photos-gallery/assets/Northern-Summer-Fun/photo-20260824-132240-02.jpg,"The younger man's mouth finds her neck as his fingers slide into her bikini bottoms, the older man stroking himself as he watches"
